p = 25
k	2000	4000	6000	8000	10000
0	0.8640289306640625	1.7606124877929688	2.6345977783203125	3.4805526733398438	4.3857879638671875
1	4.797325134277344	10.502120971679688	17.35022735595703	22.932907104492188	29.237823486328125
2	14.86456298828125	34.79486083984375	59.76216125488281	77.68169403076172	102.09506225585938
3	34.838623046875	87.74300384521484	146.2362289428711	210.82369232177734	244.31511688232422
4	71.19110107421875	168.01947021484375	298.3951644897461	460.4058532714844	563.2021484375
5	129.50645446777344	302.0893325805664	565.6965637207031	860.187858581543	1186.3447265625
6	198.6763458251953	657.1053466796875	942.3571472167969	1437.2642059326172	1785.262825012207
7	378.11978912353516	920.6230621337891	1643.1893844604492	2314.505058288574	3034.786346435547
8	514.9749526977539	1487.8568496704102	2443.521812438965	3802.455612182617	5417.186302185059
9	699.9844055175781	1918.4501113891602	3696.374397277832	5188.42903137207	8612.354209899902
10	1084.0161666870117	2627.4617233276367	5354.703102111816	9232.98918914795	10591.827514648438
11	1569.381446838379	4258.916305541992	7955.237716674805	11995.035453796387	18469.109352111816
12	2262.124382019043	4750.840240478516	11109.849258422852	16098.972030639648	19786.949951171875
