p = 25
k	2000	4000	6000	8000	10000
0	0.0012	0.0012	0.0014	0.0016	0.0016
1	0.0013	0.0019	0.0021	0.0026	0.0022
2	0.0019	0.0021	0.0024	0.003	0.0026
3	0.002	0.0022	0.0025	0.0032	0.0028
4	0.0023	0.0024	0.0025	0.0034	0.0028
5	0.0023	0.0026	0.0027	0.0033	0.003
6	0.0023	0.0026	0.0029	0.0035	0.003
7	0.0024	0.0028	0.003	0.0036	0.0032
8	0.0025	0.0028	0.0032	0.0037	0.0034
9	0.0027	0.003	0.0037	0.0034	0.0042
10	0.0027	0.0032	0.0038	0.0036	0.0042
11	0.003	0.0036	0.004	0.0039	0.0041
12	0.003	0.0036	0.0048	0.0039	0.0049
