p = 25
k	2000	4000	6000	8000	10000
0	28.201828002929688	60.847190856933594	100.62933349609375	136.0931396484375	177.3595199584961
1	93.65802764892578	216.25521087646484	351.82777404785156	499.857666015625	658.4006271362305
2	201.76041412353516	467.27400970458984	782.2776565551758	1121.2391967773438	1519.2075271606445
3	336.4605407714844	808.4668579101562	1368.844970703125	1967.6372604370117	2649.5439376831055
4	469.00499725341797	1166.6374435424805	2077.323745727539	2895.0380325317383	4131.305229187012
5	645.4010391235352	1654.2830810546875	2778.551284790039	4047.3968811035156	5753.790214538574
6	771.7115097045898	2033.8248672485352	3538.1878356933594	5270.913955688477	7484.370391845703
7	865.5914306640625	2339.81005859375	4390.7209548950195	6730.7419509887695	8893.699836730957
8	969.3735885620117	2824.540397644043	4660.499534606934	7753.25407409668	10856.480491638184
9	1028.5078735351562	3112.651641845703	5735.345077514648	8767.333274841309	12195.192764282227
10	1189.9189453125	3426.584831237793	6098.021286010742	9617.982833862305	13656.54133605957
11	1250.5817794799805	3814.6689071655273	7342.297950744629	11127.923431396484	15009.2426071167
12	1488.6373138427734	3905.599708557129	7134.954620361328	11818.697151184082	17153.726936340332
