p = 25
k	2000	4000	6000	8000	10000
0	0.0517	0.0906	0.1293	0.1666	0.2043
1	0.0787	0.1381	0.1954	0.2521	0.3056
2	0.0924	0.1622	0.2304	0.2857	0.3438
3	0.1037	0.1735	0.2334	0.2929	0.4065
4	0.1021	0.1758	0.2396	0.3307	0.3486
5	0.1046	0.1659	0.2229	0.2802	0.327
6	0.107	0.155	0.2075	0.2543	0.2948
7	0.0996	0.1445	0.1856	0.2231	0.2654
8	0.0941	0.1461	0.1755	0.2102	0.2336
9	0.0883	0.1238	0.1552	0.1871	0.2104
10	0.086	0.1664	0.1457	0.1769	0.1909
11	0.0816	0.1116	0.1333	0.1544	0.1658
12	0.0798	0.1054	0.1274	0.1371	0.1555
