p = 30
k	4000	8000	12000	16000	20000
0	0.0028	0.0032	0.0032	0.0036	0.0036
1	0.0041	0.0043	0.0047	0.0049	0.0049
2	0.0054	0.0055	0.0058	0.006	0.0062
3	0.0063	0.0066	0.0069	0.0071	0.0072
4	0.0071	0.0079	0.0079	0.008	0.0083
5	0.0081	0.0085	0.0089	0.0093	0.0093
6	0.0091	0.0095	0.0102	0.0104	0.0105
7	0.0102	0.0108	0.0112	0.0115	0.0119
8	0.0113	0.0122	0.0126	0.013	0.0133
9	0.0125	0.0133	0.0141	0.0144	0.0148
10	0.0137	0.0148	0.0155	0.0162	0.0166
11	0.0153	0.0162	0.0173	0.0179	0.0185
12	0.0169	0.0182	0.0194	0.0202	0.0206
13	0.0184	0.0204	0.0215	0.0227	0.0235
14	0.0204	0.0227	0.0239	0.0257	0.0271
